quad_ref_x,quad_ref_y,quad_actual_x,quad_actual_y,payload_ref_x,payload_ref_y,payload_actual_x,payload_actual_y
-3.92375,-2.96061,-3.59117,-3.34248,-3.99129,-3.01157,-3.75457,-3.41326
-3.90989,-2.97888,-3.57788,-3.35672,-3.9772,-3.03016,-3.74736,-3.4218
-3.89501,-2.99831,-3.56261,-3.37295,-3.96206,-3.04993,-3.72389,-3.4493
-3.8767,-3.02195,-3.55686,-3.37902,-3.94344,-3.07397,-3.71121,-3.46396
-3.86167,-3.04113,-3.53954,-3.39719,-3.92815,-3.09349,-3.69488,-3.48264
-3.8502,-3.05564,-3.52406,-3.41328,-3.91648,-3.10824,-3.6785,-3.50114
-3.83497,-3.07474,-3.51823,-3.4193,-3.90098,-3.12767,-3.66391,-3.51743
-3.81317,-3.10172,-3.50459,-3.43332,-3.87882,-3.15512,-3.64929,-3.53359
-3.80223,-3.11512,-3.47909,-3.45924,-3.86769,-3.16875,-3.63648,-3.54761
-3.78751,-3.13301,-3.47515,-3.46321,-3.85272,-3.18694,-3.6218,-3.5635
-3.77278,-3.15073,-3.44144,-3.49686,-3.83773,-3.20497,-3.60892,-3.57729
-3.75414,-3.17291,-3.42745,-3.51064,-3.81877,-3.22754,-3.59049,-3.59681
-3.74075,-3.1887,-3.4013,-3.53612,-3.80514,-3.24359,-3.58311,-3.60456
